speech_turn,label,GPT4,Flan-T5-smal,Flan-T5-base,Flan-t5-large,Flan-t5-xl
Your difficulty in forming close relationships could be related to early attachment experiences. It's as if you're protecting yourself from potential rejection by keeping people at a distance.,NONE,NONE,NITSD,NITSD,NITSD,NITSD
I've noticed that you often use humor to deflect from serious topics. This could be a way of coping with discomfort or avoiding vulnerability when discussing painful emotions.,NONE,NONE,NITSD,NITSD,NITSD,NITSD
Your extreme fear of enclosed spaces appears to be linked to a traumatic incident in your childhood. It's as if your mind is trying to protect you from reliving that experience.,NONE,NONE,NITSD,NITSD,NITSD,NITSD
It's interesting that you find yourself in relationships with partners who display similar controlling behaviors. This might be related to unresolved issues from your early family dynamics.,NONE,NONE,NITSD,NITSD,NITSD,NITSD
You've mentioned feeling a lot of guilt over your sibling's struggles. It's possible that this guilt is driving some of the self-sacrificing behaviors you engage in to make amends.,NONE,NONE,NITSD,NITSD,NITSD,NITSD
"Your reluctance to assert yourself in social situations may be connected to an inner conflict between the need for connection and a fear of rejection. It's as if part of you wants to reach out, but another part holds back.",NONE,NONE,NITSD,NITSD,NITSD,NITSD
Your heightened anxiety during crowded public events might be related to a traumatic incident from your past. Your mind may be associating crowded places with danger.,NONE,NONE,NITSD,NITSD,NITSD,NITSD
Your need for everything to be in perfect order and your meticulous routines could be a way of regaining control in response to past experiences where you may have felt helpless.,NONE,NONE,NITSD,NITSD,NITSD,NITSD
Your tendency to avoid discussing your feelings with others may be connected to a fear of vulnerability. It's as if you're protecting yourself from potential emotional pain.,NONE,NONE,NITSD,NITSD,NITSD,NITSD
I notice you're using the term 'overwhelmed' quite a bit today. Can you help me understand what that feeling specifically entails for you in this context?,NONE,NONE,NITSD,NITSD,NITSD,NITSD
You mentioned feeling distant from your sister. Could you elaborate on what might have caused this change in your relationship with her?,NONE,NONE,NITSD,NONE,NITSD,NITSD
You mentioned using humor to deal with stress. Can you describe in more detail how humor helps you cope with difficult situations?,NONE,NONE,NITSD,NITSD,NITSD,NITSD
You mentioned 'honesty' as a core value. Can you share an example of how this value plays out in your daily life or relationships?,NONE,NONE,NITSD,NITSD,NITSD,NITSD
You've mentioned feeling 'stuck' in your career. Can you help me understand what you mean by 'stuck' and what you would like to see change?,NONE,NONE,NITSD,NITSD,NITSD,NITSD
You talked about feeling 'unsafe' in crowds. Can you recall any specific experiences that might have contributed to this feeling?,NONE,NONE,NITSD,NONE,NITSD,NITSD
You mentioned your parents' divorce. Can you describe how this event affected your family dynamics and your own emotions at the time?,NONE,NONE,NITSD,NITSD,NITSD,NITSD
"You've mentioned a desire for personal growth. What do you envision as growth in this context, and what steps have you considered taking?",NONE,NONE,NITSD,NITSD,NITSD,NITSD
You mentioned feeling 'incompetent' in your work. Can you provide examples of situations where you've felt this way and what might have triggered those feelings?,NONE,NONE,NITSD,NITSD,NITSD,NITSD
You mentioned using exercise to manage stress. Could you describe how this routine fits into your daily life and how it affects your emotional well-being?,NONE,NONE,NITSD,NITSD,NITSD,NITSD
"This marks the third occasion during our session that you've brought up the cost of various things. I'm curious, could this be an indication that money is on your mind quite frequently lately?",NONE,NONE,NITSD,NITSD,NITSD,NITSD
"I'm aware that you had an important meeting yesterday, but you haven't brought it up. Could it be that you're experiencing strong emotions or thoughts related to what was discussed during that meeting?",NONE,NONE,NITSD,NITSD,NITSD,NITSD
I've noticed you seem unhappy when we talk about the disagreement we had last time. Do you think there might be some anger or resentment towards me?,NONE,ITSD,NITSD,NITSD,NITSD,NITSD
"Last week, you were enthusiastic about your upcoming camping trip. You were looking forward to it. However, we've been talking for twenty minutes, and you haven't mentioned it. How did your trip go?",NONE,NONE,NITSD,NONE,NITSD,NITSD
"Last week, you were sharing how much you enjoy your new hiking hobby and that it's been a great way to unwind. However, I've noticed today that you aren't wearing your hiking boots. Is there a reason for that?",NONE,NONE,NITSD,NITSD,NITSD,NITSD
"We had scheduled to begin today's session by discussing your upcoming vacation plans, which are important. However, you arrived fifteen minutes late today.",NONE,NONE,NITSD,NONE,NITSD,NITSD
"The argument you described with your partner seems quite heated, and it appears that harsh words were exchanged.",NONE,NONE,NITSD,NITSD,NITSD,NITSD
I can't help but recall that today was the day you were expecting to hear back from your job interview. I wonder if there's a reason you haven't mentioned it.,NONE,ITSD,NITSD,NITSD,NITSD,NITSD
"In our last session, you mentioned feeling excited about the job opportunity. However, today, you seem rather downcast. What do you think might have changed since then that's affecting your mood?",NONE,NONE,NITSD,NITSD,NITSD,NITSD
I've noticed that you've been hesitant to discuss your recent conflict with your friend. It seems like you're avoiding that conversation. Is there a reason you're holding back?,NONE,NONE,NITSD,NITSD,NITSD,NITSD
"You've been expressing frustration about your supervisor's feedback, but every time I offer a different perspective, you seem defensive. What might be making you resistant to alternative viewpoints?",NONE,NONE,NITSD,NITSD,NITSD,NITSD
"You mentioned the loss of your pet, and it's evident you're suppressing your grief. What's preventing you from acknowledging and processing the sadness you're feeling?",NONE,NONE,NITSD,NITSD,NITSD,NITSD
"I've observed that you've been engaging in excessive drinking lately, despite expressing a desire to reduce your alcohol consumption. Can you help me understand the reasons behind this inconsistency?",NONE,NONE,NITSD,NITSD,NITSD,NITSD
"You've been talking about your strained relationship with your sibling, but you haven't addressed your own role in the conflict. What do you think your contribution might be?",NONE,NONE,NITSD,NITSD,NITSD,NITSD
"You've mentioned feeling disconnected from your partner, and it seems you've been avoiding any discussion of your own role in this dynamic. Is there something specific that's been holding you back from addressing your feelings?",NONE,NONE,NITSD,NITSD,NITSD,NITSD
"You've mentioned wanting to change your career, but I haven't heard specific steps or plans from you. Are there any obstacles or uncertainties that are making it challenging for you to pursue your goals?",NONE,NONE,NITSD,NITSD,NITSD,NITSD
"You've talked about wanting to improve your self-esteem, yet every time we explore potential strategies, you seem hesitant or resistant. What's causing this resistance to change?",NONE,NONE,NITSD,NITSD,NITSD,NITSD
"You've discussed wanting to repair your relationship with your parents, but I've noticed a pattern of avoidance when it comes to initiating contact. What might be holding you back from taking that step?",NONE,NONE,NITSD,NITSD,NITSD,NITSD
"I'm sort of confused because on one hand, I get the sense that there's a part of you that doesnt want to do this, but then I got kind of lost in terms of that, so I don't know.",NONE,ITSD,NITSD,NITSD,NITSD,NITSD
Let me ask you to try a little exercise that's sort of different from what we did last time. I'd like you to play your really critical side. What would you say to yourself right now strictly from your critical side?,NONE,NONE,NITSD,NITSD,NITSD,NITSD
I am aware of your smile right now. Are you aware of that at all?,NONE,NONE,NITSD,NITSD,NITSD,NITSD
"When I said I knew it didn't work, you took that as being like a crack.",NONE,ITSD,NITSD,NONE,NITSD,NITSD
I can see the struggle you are in now to find meaning in your life,NONE,NONE,NITSD,NITSD,NITSD,NITSD
I see you really want to answer some of these questions. You really want to make sense of what you are going through. I want to tell you that you are at the right place here to ask these questions.,NONE,ITSD,NITSD,NITSD,NITSD,NITSD
I can really understand that it's not easy to choose what to talk about in the last minutes.,NONE,ITSD,NITSD,NITSD,NITSD,NITSD
You believe that the gains you have made are not part of you but depend on my presence. You seem to forget that the gains you have made are based on your own work. You used the same tools to solve your problems that I used during our sessions. And you can go on doing so after the end of treatment.,NONE,NONE,NITSD,NITSD,NITSD,NITSD
"You told me that you would like to get rid of your panic attacks. I see that this is important to you. However, you also told me that there are some problems in your interpersonal relations. Maybe we can examine whether they're related to your panic attacks?",NONE,NONE,NITSD,NITSD,NITSD,NITSD
"I am afraid we are out of time, I will bring up that topic next week",NONE,NONE,NITSD,NITSD,NITSD,NITSD
"I can see that the homework upset you, and it must have been frustrating to engage in a task that did not seem relevant to your most immediate problems",NONE,ITSD,NITSD,NITSD,NITSD,NITSD
"I notice that when you start to talk about how alone you were as a child, it's hard for you to look at me. I feel you drifting away from me.",NONE,ITSD,NITSD,NITSD,NITSD,NITSD
"I believe that you have the power to produce change in your life, and during the course of therapy you will build skills to help facilitate this goal.",NONE,NONE,NITSD,NITSD,NITSD,NITSD
